Fecha,Último,Apertura,Máximo,Mínimo,Vol.,% var.
01.11.2023,895,925,895,895,,"-1,65%"
01.10.2023,910,810,910,910,,"14,11%"
01.09.2023,"797,5","727,5","797,5","797,5",,"9,25%"
01.08.2023,730,557,730,730,,"33,33%"
01.07.2023,"547,5","495,5","547,5","547,5",,"11,39%"
01.06.2023,"491,5","492,5","491,5","491,5",,"0,82%"
01.05.2023,"487,5","492,5","487,5","487,5",,"4,50%"
01.04.2023,"466,5","397,5","466,5","466,5",,"18,70%"
01.03.2023,393,377,393,393,,"5,36%"
01.02.2023,373,383,373,373,,"-1,58%"
01.01.2023,379,350,379,379,,"10,17%"
01.12.2022,344,316,344,344,,"10,26%"
01.11.2022,312,292,312,312,,"8,33%"
01.10.2022,288,289,288,288,,"0,70%"
01.09.2022,286,292,286,286,,"-0,69%"
01.08.2022,288,294,288,288,,"-1,87%"
01.07.2022,"293,5","239,5","293,5","293,5",,"24,10%"
01.06.2022,"236,5","207,5","236,5","236,5",,"15,09%"
01.05.2022,"205,5","202,5","205,5","205,5",,"3,27%"
01.04.2022,199,"201,5",199,199,,"0,25%"
01.03.2022,"198,5","212,5","198,5","198,5",,"-5,25%"
01.02.2022,"209,5",215,"209,5","209,5",,"-0,95%"
01.01.2022,"211,5","207,5","211,5","211,5",,"2,42%"
01.12.2021,"206,5",203,"206,5","206,5",,"3,25%"
01.11.2021,200,198,200,200,,"2,04%"
01.10.2021,196,"187,5",196,196,,"6,23%"
01.09.2021,"184,5",183,"184,5","184,5",,"2,50%"
01.08.2021,180,182,180,180,,"0,28%"
01.07.2021,"179,5",170,"179,5","179,5",,"7,81%"
01.06.2021,"166,5","157,5","166,5","166,5",,"7,07%"
01.05.2021,"155,5","153,5","155,5","155,5",,"5,07%"
01.04.2021,148,143,148,148,,"6,09%"
01.03.2021,"139,5","148,5","139,5","139,5",,"-3,46%"
01.02.2021,"144,5","155,5","144,5","144,5",,"-4,62%"
01.01.2021,"151,5","170,5","151,5","151,5",,"-7,62%"
01.12.2020,164,157,164,164,,"7,19%"
01.11.2020,153,157,153,153,,"-8,38%"
01.10.2020,167,146,167,167,,"15,17%"
01.09.2020,145,136,145,145,,"8,61%"
01.08.2020,"133,5","137,5","133,5","133,5",,"-0,37%"
01.07.2020,134,131,134,134,,"8,06%"
01.06.2020,124,127,124,124,,"0,81%"
01.05.2020,123,122,123,123,,"7,42%"
01.04.2020,"114,5","83,25","114,5","114,5",,"37,13%"
01.03.2020,"83,5","78,25","83,5","83,5",,"8,09%"
01.02.2020,"77,25","78,25","77,25","77,25",,"0,98%"
01.01.2020,"76,5",77,"76,5","76,5",,"-0,33%"
01.12.2019,"76,75","68,75","76,75","76,75",,"11,64%"
01.11.2019,"68,75","67,5","68,75","68,75",,"1,10%"
01.10.2019,68,"63,25",68,68,,"11,48%"
01.09.2019,61,"64,25",61,61,,"-2,40%"
01.08.2019,"62,5","45,95","62,5","62,5",,"39,04%"
01.07.2019,"44,95","43,5","44,95","44,95",,"2,86%"
01.06.2019,"43,7","46,3","43,7","43,7",,"-4,69%"
01.05.2019,"45,85","46,1","45,85","45,85",,"1,33%"
01.04.2019,"45,25","42,25","45,25","45,25",,"4,87%"
01.03.2019,"43,15","39,1","43,15","43,15",,"10,98%"
01.02.2019,"38,88","37,62","38,88","38,88",,"4,01%"
01.01.2019,"37,38","40,12","37,38","37,38",,"-7,43%"
01.12.2018,"40,38","36,12","40,38","40,38",,"10,63%"
01.11.2018,"36,5","35,75","36,5","36,5",,"2,82%"
01.10.2018,"35,5","40,25","35,5","35,5",,"-10,13%"
01.09.2018,"39,5","37,75","39,5","39,5",,"6,04%"
01.08.2018,"37,25","28,7","37,25","37,25",,"31,95%"
01.07.2018,"28,23","28,92","28,23","28,23",,"-2,32%"
01.06.2018,"28,9","26,05","28,9","28,9",,"11,37%"
01.05.2018,"25,95","20,92","25,95","25,95",,"24,46%"
01.04.2018,"20,85","20,8","20,85","20,85",,"0,58%"
01.03.2018,"20,73","20,27","20,73","20,73",,"2,42%"
01.02.2018,"20,24","19,95","20,24","20,24",,"1,61%"
01.01.2018,"19,92","19,19","19,92","19,92",,"3,43%"
01.12.2017,"19,26","17,94","19,26","19,26",,"7,36%"
01.11.2017,"17,94","18,09","17,94","17,94",,"-0,77%"
01.10.2017,"18,08","17,95","18,08","18,08",,"1,12%"
01.09.2017,"17,88","18,24","17,88","17,88",,"-1,92%"
01.08.2017,"18,23","18,02","18,23","18,23",,"0,94%"
01.07.2017,"18,06","16,77","18,06","18,06",,"7,44%"
01.06.2017,"16,81","16,4","16,81","16,81",,"2,69%"
01.05.2017,"16,37","15,97","16,37","16,37",,"2,57%"
01.04.2017,"15,96","16,02","15,96","15,96",,"0,00%"
01.03.2017,"15,96","16,3","15,96","15,96",,"-1,85%"
01.02.2017,"16,26","16,7","16,26","16,26",,"-2,17%"
01.01.2017,"16,62","16,99","16,62","16,62",,"-1,31%"
01.12.2016,"16,84","16,2","16,84","16,84",,"4,47%"
01.11.2016,"16,12","15,51","16,12","16,12",,"3,73%"
01.10.2016,"15,54","15,71","15,54","15,54",,"-0,96%"
01.09.2016,"15,69","15,51","15,69","15,69",,"2,02%"
01.08.2016,"15,38","15,52","15,38","15,38",,"-0,45%"
01.07.2016,"15,45","15,04","15,45","15,45",,"3,62%"
01.06.2016,"14,91","14,54","14,91","14,91",,"2,97%"
01.05.2016,"14,48","14,71","14,48","14,48",,"-1,03%"
01.04.2016,"14,63","15,21","14,63","14,63",,"-3,94%"
01.03.2016,"15,23","15,81","15,23","15,23",,"-2,31%"
01.02.2016,"15,59","14,32","15,59","15,59",,"9,40%"
01.01.2016,"14,25","14,45","14,25","14,25",,"-0,28%"
01.12.2015,"14,29","14,64","14,29","14,29",,"-2,86%"
01.11.2015,"14,71","15,76","14,71","14,71",,"-6,42%"
01.10.2015,"15,72",16,"15,72","15,72",,"-1,50%"
01.09.2015,"15,96","15,5","15,96","15,96",,"3,30%"
01.08.2015,"15,45","14,94","15,45","15,45",,"3,62%"
01.07.2015,"14,91","13,64","14,91","14,91",,"11,43%"
01.06.2015,"13,38","12,63","13,38","13,38",,"6,02%"
01.05.2015,"12,62","12,67","12,62","12,62",,"-0,47%"
01.04.2015,"12,68","12,52","12,68","12,68",,"0,71%"
01.03.2015,"12,59","13,07","12,59","12,59",,"-3,15%"
01.02.2015,13,"13,7",13,13,,"-4,20%"
01.01.2015,"13,57","14,07","13,57","13,57",,"-3,28%"
01.12.2014,"14,03","13,03","14,03","14,03",,"7,35%"
01.11.2014,"13,07","14,27","13,07","13,07",,"-8,28%"
01.10.2014,"14,25","14,66","14,25","14,25",,"-9,24%"
01.09.2014,"15,7","15,7","15,7","15,7",,"11,90%"
01.08.2014,"14,03","14,03","14,03","14,03",,"10,65%"
01.07.2014,"12,68","12,68","12,68","12,68",,"4,62%"
01.06.2014,"12,12","12,12","12,12","12,12",,"6,04%"
01.05.2014,"11,43","11,43","11,43","11,43",,"8,44%"
01.04.2014,"10,54","10,54","10,54","10,54",,"-2,23%"
01.03.2014,"10,78","10,78","10,78","10,78",,"-3,92%"
01.02.2014,"11,22","11,22","11,22","11,22",,"-10,95%"
01.01.2014,"12,6","12,6","12,6","12,6",,"25,75%"
01.12.2013,"10,02","10,02","10,02","10,02",,"4,92%"
01.11.2013,"9,55","9,55","9,55","9,55",,"-3,54%"
01.10.2013,"9,9","9,9","9,9","9,9",,"4,65%"
01.09.2013,"9,46","9,46","9,46","9,46",,"1,94%"
01.08.2013,"9,28","9,28","9,28","9,28",,"7,66%"
01.07.2013,"8,62","8,62","8,62","8,62",,"6,29%"
01.06.2013,"8,11","8,11","8,11","8,11",,"-7,63%"
01.05.2013,"8,78","8,78","8,78","8,78",,"-6,40%"
01.04.2013,"9,38","9,38","9,38","9,38",,"11,53%"
01.03.2013,"8,41","8,41","8,41","8,41",,"7,41%"
01.02.2013,"7,83","7,83","7,83","7,83",,"-0,89%"
01.01.2013,"7,9","7,9","7,9","7,9",,"16,35%"
01.12.2012,"6,79","6,79","6,79","6,79",,"5,60%"
01.11.2012,"6,43","6,43","6,43","6,43",,"1,58%"
01.10.2012,"6,33","6,33","6,33","6,33",,"0,64%"
01.09.2012,"6,29","6,29","6,29","6,29",,"-1,10%"
01.08.2012,"6,36","6,36","6,36","6,36",,"0,95%"
01.07.2012,"6,3","6,3","6,3","6,3",,"6,06%"
01.06.2012,"5,94","5,94","5,94","5,94",,"0,51%"
01.05.2012,"5,91","5,91","5,91","5,91",,"16,34%"
01.04.2012,"5,08","5,08","5,08","5,08",,"3,25%"
01.03.2012,"4,92","4,92","4,92","4,92",,"4,46%"
01.02.2012,"4,71","4,71","4,71","4,71",,"-1,67%"
01.01.2012,"4,79","4,79","4,79","4,79",,"1,27%"
01.12.2011,"4,73","4,73","4,73","4,73",,"-1,05%"
01.11.2011,"4,78","4,78","4,78","4,78",,"6,70%"
01.10.2011,"4,48","4,48","4,48","4,48",,"1,13%"
01.09.2011,"4,43","4,43","4,43","4,43",,"0,00%"
01.08.2011,"4,43","4,43","4,43","4,43",,"2,07%"
01.07.2011,"4,34","4,34","4,34","4,34",,"1,64%"
01.06.2011,"4,27","4,27","4,27","4,27",,"-0,47%"
01.05.2011,"4,29","4,29","4,29","4,29",,"-0,23%"
01.04.2011,"4,3","4,3","4,3","4,3",,"3,61%"
01.03.2011,"4,15","4,15","4,15","4,15",,"0,00%"
01.02.2011,"4,15","4,15","4,15","4,15",,"0,48%"
01.01.2011,"4,13","4,13","4,13","4,13",,"0,49%"
01.12.2010,"4,11","4,11","4,11","4,11",,"1,23%"
01.11.2010,"4,06","4,06","4,06","4,06",,"0,74%"
01.10.2010,"4,03","4,03","4,03","4,03",,"0,00%"
01.09.2010,"4,03","4,03","4,03","4,03",,"0,50%"
01.08.2010,"4,01","4,01","4,01","4,01",,"-0,50%"
01.07.2010,"4,03","4,03","4,03","4,03",,"0,50%"
01.06.2010,"4,01","4,01","4,01","4,01",,"1,26%"
01.05.2010,"3,96","3,96","3,96","3,96",,"1,02%"
01.04.2010,"3,92","3,92","3,92","3,92",,"1,03%"
01.03.2010,"3,88","3,88","3,88","3,88",,"-1,02%"
01.02.2010,"3,92","3,92","3,92","3,92",,"1,03%"
01.01.2010,"3,88","3,88","3,88","3,88",,"0,52%"
01.12.2009,"3,86","3,86","3,86","3,86",,"1,58%"
01.11.2009,"3,8","3,8","3,8","3,8",,"-0,52%"
01.10.2009,"3,82","3,82","3,82","3,82",,"-0,52%"
01.09.2009,"3,84","3,84","3,84","3,84",,"0,00%"
01.08.2009,"3,84","3,84","3,84","3,84",,"-0,78%"
01.07.2009,"3,87","3,87","3,87","3,87",,"1,04%"
01.06.2009,"3,83","3,83","3,83","3,83",,"0,52%"
01.05.2009,"3,81","3,81","3,81","3,81",,"1,87%"
01.04.2009,"3,74","3,74","3,74","3,74",,"-1,32%"
01.03.2009,"3,79","3,79","3,79","3,79",,"4,12%"
01.02.2009,"3,64","3,64","3,64","3,64",,"2,82%"
01.01.2009,"3,54","3,54","3,54","3,54",,"0,00%"
01.12.2008,"3,54","3,54","3,54","3,54",,"3,81%"
01.11.2008,"3,41","3,41","3,41","3,41",,"-2,01%"
01.10.2008,"3,48","3,48","3,48","3,48",,"10,48%"
01.09.2008,"3,15","3,15","3,15","3,15",,"2,94%"
01.08.2008,"3,06","3,06","3,06","3,06",,"-0,33%"
01.07.2008,"3,07","3,07","3,07","3,07",,"0,33%"
01.06.2008,"3,06","3,06","3,06","3,06",,"-3,77%"
01.05.2008,"3,18","3,18","3,18","3,18",,"-1,55%"
01.04.2008,"3,23","3,23","3,23","3,23",,"1,25%"
01.03.2008,"3,19","3,19","3,19","3,19",,"0,31%"
01.02.2008,"3,18","3,18","3,18","3,18",,"0,32%"
01.01.2008,"3,17","3,17","3,17","3,17",,"0,00%"
01.12.2007,"3,17","3,17","3,17","3,17",,"0,32%"
01.11.2007,"3,16","3,16","3,16","3,16",,"-0,94%"
01.10.2007,"3,19","3,19","3,19","3,19",,"0,00%"
01.09.2007,"3,19","3,19","3,19","3,19",,"-0,93%"
01.08.2007,"3,22","3,22","3,22","3,22",,"1,58%"
01.07.2007,"3,17","3,17","3,17","3,17",,"2,26%"
01.06.2007,"3,1","3,1","3,1","3,1",,"-0,32%"
01.05.2007,"3,11","3,11","3,11","3,11",,"-0,32%"
01.04.2007,"3,12","3,12","3,12","3,12",,"0,00%"
01.03.2007,"3,12","3,12","3,12","3,12",,"0,32%"
01.02.2007,"3,11","3,11","3,11","3,11",,"-0,32%"
01.01.2007,"3,12","3,12","3,12","3,12",,"0,97%"
01.12.2006,"3,09","3,09","3,09","3,09",,"0,00%"
01.11.2006,"3,09","3,09","3,09","3,09",,"-0,64%"
01.10.2006,"3,11","3,11","3,11","3,11",,"-0,32%"
01.09.2006,"3,12","3,12","3,12","3,12",,"0,65%"
01.08.2006,"3,1","3,1","3,1","3,1",,"0,00%"
