Fecha,Último,Apertura,Máximo,Mínimo,Vol.,% var.
01.11.2023,"360,45","349,9717","360,6312","347,0161",,"3,00%"
01.10.2023,"349,95","351,3248","351,7224","347,2007",,"-0,01%"
01.09.2023,350,"350,025","350,09","349,71",,"0,01%"
01.08.2023,"349,95","275,95","350,055","275,275",,"27,14%"
01.07.2023,"275,25","258,5","275,285","257,875",,"7,23%"
01.06.2023,"256,7","239,365","256,785","239,345",,"7,20%"
01.05.2023,"239,47","222,54","239,485","222,53",,"7,56%"
01.04.2023,"222,64","208,9","222,655","208,9",,"6,54%"
01.03.2023,"208,98","197,56","209,005","197,155",,"6,00%"
01.02.2023,"197,15","186,9","197,215","186,895",,"5,44%"
01.01.2023,"186,98","177,645","186,99","177,645",,"5,79%"
01.12.2022,"176,74","167,22","177,14","167,185",,"5,66%"
01.11.2022,"167,28","156,82","167,35","156,82",,"6,62%"
01.10.2022,"156,89","147,25","156,905","147,25",,"6,50%"
01.09.2022,"147,31","138,66","147,335","138,66",,"6,19%"
01.08.2022,"138,72","131,2","138,765","131,2",,"5,68%"
01.07.2022,"131,26","125,405","131,295","125,395",,"4,83%"
01.06.2022,"125,21","120,14","125,23","120,14",,"4,18%"
01.05.2022,"120,19","115,265","120,195","115,265",,"4,23%"
01.04.2022,"115,31","110,955","115,335","110,955",,"3,88%"
01.03.2022,111,"107,4","111,07","107,365",,"3,36%"
01.02.2022,"107,39","105,0723","107,465","104,98",,"2,28%"
01.01.2022,105,"103,05","105,04","102,69",,"2,26%"
01.12.2021,"102,68","100,94","102,765","100,89",,"1,73%"
01.11.2021,"100,93","99,641","100,975","99,641",,"1,31%"
01.10.2021,"99,62","98,6515","99,745","98,6515",,"0,90%"
01.09.2021,"98,73","97,6575","98,765","97,656",,"1,01%"
01.08.2021,"97,74","96,575","97,785","96,57",,"1,10%"
01.07.2021,"96,68","95,639","96,72","95,6175",,"1,02%"
01.06.2021,"95,7","94,6185","95,75","94,575",,"1,28%"
01.05.2021,"94,49","93,4805","94,704","93,27",,"1,21%"
01.04.2021,"93,363","91,891","93,625","91,425",,"1,50%"
01.03.2021,"91,98","89,7425","92,085","89,7335",,"2,40%"
01.02.2021,"89,82","87,4505","89,834","87,2641",,"2,89%"
01.01.2021,"87,3","84,0875","87,33","84,0705",,"3,83%"
01.12.2020,"84,08","81,305","84,171","81,222",,"3,42%"
01.11.2020,"81,3","78,214","81,575","78,1935",,"3,80%"
01.10.2020,"78,32","76,18","78,357","76,069",,"2,82%"
01.09.2020,"76,17","74,131","76,18","74,131",,"2,90%"
01.08.2020,"74,022","72,2495","74,1975","72,19",,"2,37%"
01.07.2020,"72,31","70,46","72,323","70,3895",,"2,85%"
01.06.2020,"70,309","68,4785","70,47","68,4345",,"2,81%"
01.05.2020,"68,389","66,772","68,547","66,03",,"2,42%"
01.04.2020,"66,77","64,35","66,8505","64,16",,"4,00%"
01.03.2020,"64,204","62,125","64,5638","62,099",,"3,35%"
01.02.2020,"62,12","59,988","62,3438","59,988",,"3,07%"
01.01.2020,"60,27","59,819","60,3665","59,6245",,"0,68%"
01.12.2019,"59,86","59,841","60,2425","59,584",,"-0,08%"
01.11.2019,"59,91","59,5685","59,965","59,389",,"0,59%"
01.10.2019,"59,56","57,585","63,5166","57,4925",,"3,42%"
01.09.2019,"57,59","59,5","60,5","53,7373",,"-3,20%"
01.08.2019,"59,4955","43,8185","63,5127","43,8185",,"35,79%"
01.07.2019,"43,8155","42,4715","43,9695","41,47",,"3,17%"
01.06.2019,"42,47","44,75","45,1762","42,0975",,"-4,96%"
01.05.2019,"44,685","44,28","45,865","44,18",,"1,00%"
01.04.2019,"44,242","43,3575","46,505","41,275",,"2,22%"
01.03.2019,"43,281","39,1195","43,965","39,085",,"10,72%"
01.02.2019,"39,091","37,301","40,725","36,845",,"4,89%"
01.01.2019,"37,269","37,655","38,31","36,7",,"-0,93%"
01.12.2018,"37,619","37,275","38,825","36,325",,"-0,23%"
01.11.2018,"37,706","35,8915","39,3","35,175",,"5,06%"
01.10.2018,"35,89","41,325","41,34","35,41",,"-13,06%"
01.09.2018,"41,28","37,25","41,75","36,1027",,"12,17%"
01.08.2018,"36,8","27,6","41,75","27,08",,"34,36%"
01.07.2018,"27,389","28,9365","29,04","27,02",,"-5,17%"
01.06.2018,"28,881","24,961","29,69","24,8375",,"15,80%"
01.05.2018,"24,941","20,515","25,035","20,515",,"21,59%"
01.04.2018,"20,513","20,115","20,935","20,0775",,"2,00%"
01.03.2018,"20,11","20,195","20,45","20,075",,"0,00%"
01.02.2018,"20,11","19,565","20,28","19,33",,"2,45%"
01.01.2018,"19,63","18,64","19,71","18,325",,"5,57%"
01.12.2017,"18,594","17,305","19,18","17,19",,"7,48%"
01.11.2017,"17,3","17,635","17,72","17,275",,"-1,87%"
01.10.2017,"17,63","17,2875","17,78","17,235",,"1,97%"
01.09.2017,"17,289","17,28","17,685","16,9545",,"-0,18%"
01.08.2017,"17,32","17,65","17,855","17,007",,"-1,81%"
01.07.2017,"17,64","16,765","17,8025","16,745",,"6,23%"
01.06.2017,"16,606","16,095","16,6575","15,825",,"3,29%"
01.05.2017,"16,077","15,3885","16,1898","15,225",,"4,57%"
01.04.2017,"15,375","15,3805","15,52","15,1225",,"0,05%"
01.03.2017,"15,367","15,47","15,7505","15,32",,"-0,67%"
01.02.2017,"15,47","15,905","15,9055","15,33",,"-2,69%"
01.01.2017,"15,897","15,8775","16,1375","15,735",,"0,27%"
01.12.2016,"15,854","15,85","16,1195","15,465",,"0,01%"
01.11.2016,"15,852","15,16","16,02","14,855",,"4,70%"
01.10.2016,"15,14","15,27","15,32","15,03",,"-1,34%"
01.09.2016,"15,345","14,9338","15,44","14,835",,"2,87%"
01.08.2016,"14,9175","15,001","15,1587","14,61",,"-0,47%"
01.07.2016,"14,988","15,085","15,3125","14,551",,"-0,25%"
01.06.2016,"15,025","13,983","15,4","13,72",,"7,54%"
01.05.2016,"13,972","14,285","14,4","13,905",,"-2,16%"
01.04.2016,"14,28","14,7","14,865","13,95",,"-2,78%"
01.03.2016,"14,689","15,82","15,9738","14,11",,"-7,12%"
01.02.2016,"15,815","13,8981","15,84","13,8925",,"13,88%"
01.01.2016,"13,8869","12,9369","14,0535","12,9084",,"7,35%"
01.12.2015,"12,9359","9,7055","13,95","9,6685",,"33,93%"
01.11.2015,"9,6584","9,521","9,7295","9,4015",,"1,50%"
01.10.2015,"9,5154","9,4256","9,545","9,3289",,"0,99%"
01.09.2015,"9,4217","9,2991","9,4307","9,2893",,"1,34%"
01.08.2015,"9,2967","9,1984","9,3067","9,1847",,"1,12%"
01.07.2015,"9,1935","9,1004","9,2074","9,0788",,"1,06%"
01.06.2015,"9,0967","9,0034","9,1137","8,9893",,"1,06%"
01.05.2015,"9,0015","8,9185","9,0159","8,9035",,"0,94%"
01.04.2015,"8,9179","8,8184","8,9236","8,8132",,"1,16%"
01.03.2015,"8,8155","8,7195","8,8249","8,7195",,"1,10%"
01.02.2015,"8,72","8,633","8,7262","8,633",,"1,02%"
01.01.2015,"8,632","8,5525","8,6825","8,5475",,"1,07%"
01.12.2014,"8,5402","8,528","8,5975","8,523",,"0,15%"
01.11.2014,"8,527","8,503","8,53","8,5005",,"0,29%"
01.10.2014,"8,502","8,4305","8,5065","8,4245",,"0,85%"
01.09.2014,"8,43","8,392","8,4963","8,3865",,"0,35%"
01.08.2014,"8,4003","8,213","8,44","8,2122",,"2,29%"
01.07.2014,"8,2125","8,1312","8,266","8,1305",,"1,01%"
01.06.2014,"8,1305","8,0775","8,1525","8,0763",,"0,67%"
01.05.2014,"8,076","8,0007","8,09","7,9995",,"0,95%"
01.04.2014,"7,9998","8,0008","8,0138","7,994",,"0,00%"
01.03.2014,8,"7,8855","8,035","7,855",,"1,46%"
01.02.2014,"7,8845","8,0187","8,07","7,749",,"-1,66%"
01.01.2014,"8,0178","6,5205","8,215","6,5205",,"23,03%"
01.12.2013,"6,517","6,1405","6,5305","6,1405",,"6,14%"
01.11.2013,"6,1398","5,9175","6,143","5,912",,"3,94%"
01.10.2013,"5,9072","5,791","5,9134","5,7907",,"2,03%"
01.09.2013,"5,7898","5,6715","5,7937","5,671",,"2,11%"
01.08.2013,"5,67","5,505","5,6726","5,5045",,"3,00%"
01.07.2013,"5,505","5,3875","5,51","5,3873",,"2,23%"
01.06.2013,"5,385","5,2845","5,391","5,284",,"1,94%"
01.05.2013,"5,2825","5,1885","5,287","5,187",,"1,83%"
01.04.2013,"5,1875","5,1215","5,1887","5,1205",,"1,33%"
01.03.2013,"5,1195","5,0475","5,1255","5,0454",,"1,50%"
01.02.2013,"5,044","4,9825","5,0465","4,9777",,"1,35%"
01.01.2013,"4,977","4,9187","4,9792","4,9185",,"1,26%"
01.12.2012,"4,915","4,84","4,9193","4,8354",,"1,63%"
01.11.2012,"4,836","4,7663","4,8385","4,766",,"1,54%"
01.10.2012,"4,7625","4,7","4,769","4,6955",,"1,44%"
01.09.2012,"4,695","4,6335","4,698","4,6385",,"1,24%"
01.08.2012,"4,6375","4,585","4,6395","4,5732",,"1,15%"
01.07.2012,"4,5849","4,527","4,587","4,5",,"1,28%"
01.06.2012,"4,5269","4,469","4,5275","4,4314",,"1,32%"
01.05.2012,"4,4679","4,4125","4,4785","4,4115",,"1,32%"
01.04.2012,"4,4095","4,3908","4,418","4,3733",,"0,74%"
01.03.2012,"4,3769","4,353","4,3804","4,3305",,"0,60%"
01.02.2012,"4,351","4,3305","4,3585","4,3292",,"0,48%"
01.01.2012,"4,33","4,302","4,3415","4,3005",,"0,65%"
01.12.2011,"4,302","4,2809","4,3073","4,273",,"0,54%"
01.11.2011,"4,279","4,2332","4,285","4,232",,"1,08%"
01.10.2011,"4,2334","4,204","4,2396","4,2005",,"0,70%"
01.09.2011,"4,204","4,195","4,2473","4,1845",,"0,12%"
01.08.2011,"4,199","4,137","4,2035","4,131",,"1,55%"
01.07.2011,"4,135","4,103","4,1473","4,0935",,"0,71%"
01.06.2011,"4,106","4,083","4,11","4,0807",,"0,61%"
01.05.2011,"4,081","4,0755","4,09","4,0735",,"0,10%"
01.04.2011,"4,077","4,054","4,0873","4,0448",,"0,62%"
01.03.2011,"4,052","4,0255","4,056","4,0233",,"0,71%"
